path,label,label_id,stem,frames,width,height,fps,any_hand_rate
/vol/input/People/80. Adult/MVI_4119.MOV,adult,51,MVI_4119,77,1920,1080,25.0,1.0
/vol/input/People/80. Adult/MVI_4120.MOV,adult,51,MVI_4120,74,1920,1080,25.0,1.0
/vol/input/People/80. Adult/MVI_4121.MOV,adult,51,MVI_4121,74,1920,1080,25.0,1.0
/vol/input/People/80. Adult/MVI_4245.MOV,adult,51,MVI_4245,77,1920,1080,25.0,1.0
/vol/input/People/80. Adult/MVI_4994.MOV,adult,51,MVI_4994,67,1920,1080,25.0,1.0
/vol/input/People/80. Adult/MVI_4995.MOV,adult,51,MVI_4995,69,1920,1080,25.0,1.0
/vol/input/People/80. Adult/MVI_4996.MOV,adult,51,MVI_4996,67,1920,1080,25.0,1.0
/vol/input/People/80. Adult/MVI_5141.MOV,adult,51,MVI_5141,81,1920,1080,25.0,1.0
/vol/input/People/80. Adult/MVI_5142.MOV,adult,51,MVI_5142,80,1920,1080,25.0,1.0
/vol/input/People/80. Adult/MVI_5143.MOV,adult,51,MVI_5143,84,1920,1080,25.0,1.0
/vol/input/People/80. Adult/MVI_5296.MOV,adult,51,MVI_5296,84,1920,1080,25.0,1.0
/vol/input/People/80. Adult/MVI_5297.MOV,adult,51,MVI_5297,81,1920,1080,25.0,1.0
/vol/input/People/80. Adult/MVI_5298.MOV,adult,51,MVI_5298,75,1920,1080,25.0,1.0
/vol/input/People/80. Adult/MVI_8647.MP4,adult,51,MVI_8647,89,1920,1080,25.0,1.0
/vol/input/Days_and_Time/83. Afternoon/MVI_4655.MOV,afternoon,52,MVI_4655,46,1920,1080,25.0,1.0
/vol/input/Days_and_Time/83. Afternoon/MVI_4656.MOV,afternoon,52,MVI_4656,47,1920,1080,25.0,1.0
/vol/input/Days_and_Time/83. Afternoon/MVI_4657.MOV,afternoon,52,MVI_4657,51,1920,1080,25.0,1.0
/vol/input/Days_and_Time/83. Afternoon/MVI_4658.MOV,afternoon,52,MVI_4658,48,1920,1080,25.0,1.0
/vol/input/Days_and_Time/83. Afternoon/MVI_5063.MOV,afternoon,52,MVI_5063,52,1920,1080,25.0,1.0
/vol/input/Days_and_Time/83. Afternoon/MVI_5064.MOV,afternoon,52,MVI_5064,48,1920,1080,25.0,1.0
/vol/input/Days_and_Time/83. Afternoon/MVI_5065.MOV,afternoon,52,MVI_5065,50,1920,1080,25.0,1.0
/vol/input/Days_and_Time/83. Afternoon/MVI_5511.MOV,afternoon,52,MVI_5511,40,1920,1080,25.0,1.0
/vol/input/Days_and_Time/83. Afternoon/MVI_5512.MOV,afternoon,52,MVI_5512,42,1920,1080,25.0,1.0
/vol/input/Days_and_Time/83. Afternoon/MVI_5513.MOV,afternoon,52,MVI_5513,38,1920,1080,25.0,1.0
/vol/input/Days_and_Time/83. Afternoon/MVI_5514.MOV,afternoon,52,MVI_5514,51,1920,1080,25.0,1.0
/vol/input/Days_and_Time/83. Afternoon/MVI_9191.MP4,afternoon,52,MVI_9191,54,1920,1080,25.0,1.0
/vol/input/Days_and_Time/83. Afternoon/MVI_9192.MP4,afternoon,52,MVI_9192,57,1920,1080,25.0,1.0
/vol/input/Days_and_Time/83. Afternoon/MVI_9193.MP4,afternoon,52,MVI_9193,62,1920,1080,25.0,1.0
/vol/input/Adjectives/34. alive/MVI_9703.MOV,alive,53,MVI_9703,44,1920,1080,25.0,1.0
/vol/input/Adjectives/34. alive/MVI_9704.MOV,alive,53,MVI_9704,53,1920,1080,25.0,1.0
/vol/input/Adjectives/34. alive/MVI_9705.MOV,alive,53,MVI_9705,52,1920,1080,25.0,1.0
/vol/input/Adjectives/34. alive/MVI_9706.MOV,alive,53,MVI_9706,52,1920,1080,25.0,1.0
/vol/input/Adjectives/34. alive/MVI_9827.MOV,alive,53,MVI_9827,58,1920,1080,25.0,1.0
/vol/input/Adjectives/34. alive/MVI_9828.MOV,alive,53,MVI_9828,61,1920,1080,25.0,1.0
/vol/input/Adjectives/34. alive/MVI_9829.MOV,alive,53,MVI_9829,55,1920,1080,25.0,1.0
/vol/input/Adjectives/34. alive/MVI_9830.MOV,alive,53,MVI_9830,51,1920,1080,25.0,1.0
/vol/input/Greetings/50. Alright/MVI_0037.MOV,alright,54,MVI_0037,73,1920,1080,25.0,1.0
/vol/input/Greetings/50. Alright/MVI_0038.MOV,alright,54,MVI_0038,84,1920,1080,25.0,1.0
/vol/input/Greetings/50. Alright/MVI_0039.MOV,alright,54,MVI_0039,79,1920,1080,25.0,1.0
/vol/input/Greetings/50. Alright/MVI_0040.MOV,alright,54,MVI_0040,80,1920,1080,25.0,1.0
/vol/input/Greetings/50. Alright/MVI_0043.MOV,alright,54,MVI_0043,56,1920,1080,25.0,1.0
/vol/input/Greetings/50. Alright/MVI_0044.MOV,alright,54,MVI_0044,58,1920,1080,25.0,1.0
/vol/input/Greetings/50. Alright/MVI_0045.MOV,alright,54,MVI_0045,63,1920,1080,25.0,1.0
/vol/input/Greetings/50. Alright/MVI_0095.MOV,alright,54,MVI_0095,63,1920,1080,25.0,1.0
/vol/input/Greetings/50. Alright/MVI_0096.MOV,alright,54,MVI_0096,82,1920,1080,25.0,1.0
/vol/input/Greetings/50. Alright/MVI_0097.MOV,alright,54,MVI_0097,87,1920,1080,25.0,1.0
/vol/input/Greetings/50. Alright/MVI_9923.MOV,alright,54,MVI_9923,54,1920,1080,25.0,1.0
/vol/input/Greetings/50. Alright/MVI_9924.MOV,alright,54,MVI_9924,55,1920,1080,25.0,1.0
/vol/input/Greetings/50. Alright/MVI_9925.MOV,alright,54,MVI_9925,53,1920,1080,25.0,1.0
/vol/input/Greetings/50. Alright/MVI_9926.MOV,alright,54,MVI_9926,51,1920,1080,25.0,1.0
/vol/input/Greetings/50. Alright/MVI_9963.MOV,alright,54,MVI_9963,76,1920,1080,25.0,1.0
/vol/input/Greetings/50. Alright/MVI_9964.MOV,alright,54,MVI_9964,86,1920,1080,25.0,1.0
/vol/input/Greetings/50. Alright/MVI_9965.MOV,alright,54,MVI_9965,78,1920,1080,25.0,1.0
/vol/input/Greetings/50. Alright/MVI_9966.MOV,alright,54,MVI_9966,72,1920,1080,25.0,1.0
/vol/input/Greetings/50. Alright/MVI_9988.MOV,alright,54,MVI_9988,53,1920,1080,25.0,1.0
/vol/input/Greetings/50. Alright/MVI_9989.MOV,alright,54,MVI_9989,60,1920,1080,25.0,1.0
/vol/input/Greetings/50. Alright/MVI_9990.MOV,alright,54,MVI_9990,54,1920,1080,25.0,1.0
/vol/input/Animals/8. Animal/MVI_2999.MOV,animal,55,MVI_2999,104,1920,1080,25.0,1.0
/vol/input/Animals/8. Animal/MVI_3000.MOV,animal,55,MVI_3000,116,1920,1080,25.0,1.0
/vol/input/Animals/8. Animal/MVI_3001.MOV,animal,55,MVI_3001,104,1920,1080,25.0,1.0
/vol/input/Animals/8. Animal/MVI_3025.MOV,animal,55,MVI_3025,107,1920,1080,25.0,1.0
/vol/input/Animals/8. Animal/MVI_3026.MOV,animal,55,MVI_3026,125,1920,1080,25.0,1.0
/vol/input/Animals/8. Animal/MVI_3027.MOV,animal,55,MVI_3027,106,1920,1080,25.0,1.0
/vol/input/Animals/8. Animal/MVI_3056.MOV,animal,55,MVI_3056,107,1920,1080,25.0,1.0
/vol/input/Animals/8. Animal/MVI_3057.MOV,animal,55,MVI_3057,97,1920,1080,25.0,1.0
/vol/input/Animals/8. Animal/MVI_3058.MOV,animal,55,MVI_3058,90,1920,1080,25.0,1.0
/vol/input/Animals/8. Animal/MVI_3082.MOV,animal,55,MVI_3082,100,1920,1080,25.0,1.0
/vol/input/Animals/8. Animal/MVI_3083.MOV,animal,55,MVI_3083,108,1920,1080,25.0,1.0
/vol/input/Animals/8. Animal/MVI_3084.MOV,animal,55,MVI_3084,107,1920,1080,25.0,1.0
/vol/input/Animals/8. Animal/MVI_3107.MOV,animal,55,MVI_3107,104,1920,1080,25.0,1.0
/vol/input/Animals/8. Animal/MVI_3108.MOV,animal,55,MVI_3108,108,1920,1080,25.0,1.0
/vol/input/Animals/8. Animal/MVI_3109.MOV,animal,55,MVI_3109,103,1920,1080,25.0,1.0
/vol/input/Animals/8. Animal/MVI_4167.MOV,animal,55,MVI_4167,76,1920,1080,25.0,1.0
/vol/input/Animals/8. Animal/MVI_4168.MOV,animal,55,MVI_4168,79,1920,1080,25.0,1.0
/vol/input/Animals/8. Animal/MVI_4169.MOV,animal,55,MVI_4169,77,1920,1080,25.0,1.0
/vol/input/Animals/8. Animal/MVI_8576.MP4,animal,55,MVI_8576,87,1920,1080,25.0,1.0
/vol/input/Animals/8. Animal/MVI_8577.MP4,animal,55,MVI_8577,92,1920,1080,25.0,1.0
/vol/input/Jobs/94. Artist/MVI_4500.MOV,artist,56,MVI_4500,69,1920,1080,25.0,1.0
/vol/input/Jobs/94. Artist/MVI_4501.MOV,artist,56,MVI_4501,76,1920,1080,25.0,1.0
/vol/input/Jobs/94. Artist/MVI_4502.MOV,artist,56,MVI_4502,80,1920,1080,25.0,1.0
/vol/input/Jobs/94. Artist/MVI_4503.MOV,artist,56,MVI_4503,76,1920,1080,25.0,1.0
/vol/input/Jobs/94. Artist/MVI_4779.MOV,artist,56,MVI_4779,63,1920,1080,25.0,1.0
/vol/input/Jobs/94. Artist/MVI_4780.MOV,artist,56,MVI_4780,65,1920,1080,25.0,1.0
/vol/input/Jobs/94. Artist/MVI_4781.MOV,artist,56,MVI_4781,70,1920,1080,25.0,1.0
/vol/input/Jobs/94. Artist/MVI_5354.MOV,artist,56,MVI_5354,59,1920,1080,25.0,1.0
/vol/input/Jobs/94. Artist/MVI_5355.MOV,artist,56,MVI_5355,63,1920,1080,25.0,1.0
/vol/input/Jobs/94. Artist/MVI_5356.MOV,artist,56,MVI_5356,65,1920,1080,25.0,1.0
/vol/input/Jobs/94. Artist/MVI_5357.MOV,artist,56,MVI_5357,55,1920,1080,25.0,1.0
/vol/input/Jobs/94. Artist/MVI_8896.MP4,artist,56,MVI_8896,69,1920,1080,25.0,1.0
/vol/input/Jobs/94. Artist/MVI_8897.MP4,artist,56,MVI_8897,64,1920,1080,25.0,1.0
/vol/input/Jobs/94. Artist/MVI_8898.MP4,artist,56,MVI_8898,67,1920,1080,25.0,1.0
/vol/input/Society/13. Attack/MVI_4299.MOV,attack,57,MVI_4299,73,1920,1080,25.0,1.0
/vol/input/Society/13. Attack/MVI_4300.MOV,attack,57,MVI_4300,79,1920,1080,25.0,1.0
/vol/input/Society/13. Attack/MVI_4301.MOV,attack,57,MVI_4301,76,1920,1080,25.0,1.0
/vol/input/Society/13. Attack/MVI_4302.MOV,attack,57,MVI_4302,83,1920,1080,25.0,1.0
/vol/input/Society/13. Attack/MVI_4303.MOV,attack,57,MVI_4303,70,1920,1080,25.0,1.0
/vol/input/Society/13. Attack/MVI_4836.MOV,attack,57,MVI_4836,73,1920,1080,25.0,1.0
/vol/input/Society/13. Attack/MVI_4837.MOV,attack,57,MVI_4837,66,1920,1080,25.0,1.0
/vol/input/Society/13. Attack/MVI_4838.MOV,attack,57,MVI_4838,62,1920,1080,25.0,1.0
/vol/input/Society/13. Attack/MVI_8706.MP4,attack,57,MVI_8706,95,1920,1080,25.0,1.0
/vol/input/Society/13. Attack/MVI_8707.MP4,attack,57,MVI_8707,80,1920,1080,25.0,1.0
/vol/input/Society/13. Attack/MVI_8708.MP4,attack,57,MVI_8708,94,1920,1080,25.0,1.0
/vol/input/Society/13. Attack/MVI_8709.MP4,attack,57,MVI_8709,90,1920,1080,25.0,1.0
/vol/input/Society/13. Attack/MVI_8964.MP4,attack,57,MVI_8964,71,1920,1080,25.0,1.0
/vol/input/Society/13. Attack/MVI_8965.MP4,attack,57,MVI_8965,76,1920,1080,25.0,1.0
/vol/input/Society/13. Attack/MVI_8966.MP4,attack,57,MVI_8966,85,1920,1080,25.0,1.0
/vol/input/Jobs/95. Author/MVI_4504.MOV,author,58,MVI_4504,110,1920,1080,25.0,1.0
/vol/input/Jobs/95. Author/MVI_4505.MOV,author,58,MVI_4505,128,1920,1080,25.0,1.0
/vol/input/Jobs/95. Author/MVI_4506.MOV,author,58,MVI_4506,118,1920,1080,25.0,1.0
/vol/input/Jobs/95. Author/MVI_4507.MOV,author,58,MVI_4507,112,1920,1080,25.0,1.0
/vol/input/Jobs/95. Author/MVI_4782.MOV,author,58,MVI_4782,122,1920,1080,25.0,1.0
/vol/input/Jobs/95. Author/MVI_4783.MOV,author,58,MVI_4783,98,1920,1080,25.0,1.0
/vol/input/Jobs/95. Author/MVI_4784.MOV,author,58,MVI_4784,110,1920,1080,25.0,1.0
/vol/input/Jobs/95. Author/MVI_5358.MOV,author,58,MVI_5358,118,1920,1080,25.0,1.0
/vol/input/Jobs/95. Author/MVI_5359.MOV,author,58,MVI_5359,104,1920,1080,25.0,1.0
/vol/input/Jobs/95. Author/MVI_5360.MOV,author,58,MVI_5360,104,1920,1080,25.0,1.0
/vol/input/Jobs/95. Author/MVI_5361.MOV,author,58,MVI_5361,102,1920,1080,25.0,1.0
/vol/input/Jobs/95. Author/MVI_8911.MP4,author,58,MVI_8911,111,1920,1080,25.0,1.0
/vol/input/Jobs/95. Author/MVI_8912.MP4,author,58,MVI_8912,101,1920,1080,25.0,1.0
/vol/input/Jobs/95. Author/MVI_8913.MP4,author,58,MVI_8913,91,1920,1080,25.0,1.0
/vol/input/People/63. Baby/MVI_3769.MOV,baby,59,MVI_3769,57,1920,1080,25.0,1.0
/vol/input/People/63. Baby/MVI_3770.MOV,baby,59,MVI_3770,46,1920,1080,25.0,1.0
/vol/input/People/63. Baby/MVI_3771.MOV,baby,59,MVI_3771,54,1920,1080,25.0,1.0
/vol/input/People/63. Baby/MVI_3917.MOV,baby,59,MVI_3917,76,1920,1080,25.0,1.0
/vol/input/People/63. Baby/MVI_3918.MOV,baby,59,MVI_3918,70,1920,1080,25.0,1.0
/vol/input/People/63. Baby/MVI_3919.MOV,baby,59,MVI_3919,69,1920,1080,25.0,1.0
/vol/input/People/63. Baby/MVI_4066.MOV,baby,59,MVI_4066,73,1920,1080,25.0,1.0
/vol/input/People/63. Baby/MVI_4067.MOV,baby,59,MVI_4067,55,1920,1080,25.0,1.0
/vol/input/People/63. Baby/MVI_4068.MOV,baby,59,MVI_4068,67,1920,1080,25.0,1.0
/vol/input/People/63. Baby/MVI_4226.MOV,baby,59,MVI_4226,54,1920,1080,25.0,1.0
/vol/input/People/63. Baby/MVI_4946.MOV,baby,59,MVI_4946,61,1920,1080,25.0,1.0
/vol/input/People/63. Baby/MVI_4947.MOV,baby,59,MVI_4947,54,1920,1080,25.0,1.0
/vol/input/People/63. Baby/MVI_4948.MOV,baby,59,MVI_4948,49,1920,1080,25.0,1.0
/vol/input/People/63. Baby/MVI_5086.MOV,baby,59,MVI_5086,60,1920,1080,25.0,1.0
/vol/input/People/63. Baby/MVI_5087.MOV,baby,59,MVI_5087,55,1920,1080,25.0,1.0
/vol/input/People/63. Baby/MVI_5088.MOV,baby,59,MVI_5088,55,1920,1080,25.0,1.0
/vol/input/People/63. Baby/MVI_5234.MOV,baby,59,MVI_5234,72,1920,1080,25.0,1.0
/vol/input/People/63. Baby/MVI_5235.MOV,baby,59,MVI_5235,63,1920,1080,25.0,1.0
/vol/input/People/63. Baby/MVI_5236.MOV,baby,59,MVI_5236,71,1920,1080,25.0,1.0
/vol/input/People/63. Baby/MVI_8628.MP4,baby,59,MVI_8628,69,1920,1080,25.0,1.0
/vol/input/Adjectives/95. bad/MVI_5161.MOV,bad,60,MVI_5161,59,1920,1080,25.0,1.0
/vol/input/Adjectives/95. bad/MVI_5162.MOV,bad,60,MVI_5162,55,1920,1080,25.0,1.0
/vol/input/Adjectives/95. bad/MVI_5163.MOV,bad,60,MVI_5163,65,1920,1080,25.0,1.0
/vol/input/Adjectives/95. bad/MVI_5241.MOV,bad,60,MVI_5241,51,1920,1080,25.0,1.0
/vol/input/Adjectives/95. bad/MVI_5242.MOV,bad,60,MVI_5242,54,1920,1080,25.0,1.0
/vol/input/Adjectives/95. bad/MVI_5243.MOV,bad,60,MVI_5243,48,1920,1080,25.0,1.0
/vol/input/Adjectives/95. bad/MVI_5319.MOV,bad,60,MVI_5319,51,1920,1080,25.0,1.0
/vol/input/Adjectives/95. bad/MVI_5320.MOV,bad,60,MVI_5320,50,1920,1080,25.0,1.0
/vol/input/Adjectives/95. bad/MVI_5321.MOV,bad,60,MVI_5321,57,1920,1080,25.0,1.0
/vol/input/Adjectives/95. bad/MVI_9271.MOV,bad,60,MVI_9271,44,1920,1080,25.0,1.0
/vol/input/Adjectives/95. bad/MVI_9272.MOV,bad,60,MVI_9272,46,1920,1080,25.0,1.0
/vol/input/Adjectives/95. bad/MVI_9273.MOV,bad,60,MVI_9273,44,1920,1080,25.0,1.0
/vol/input/Adjectives/95. bad/MVI_9352.MOV,bad,60,MVI_9352,43,1920,1080,25.0,1.0
/vol/input/Adjectives/95. bad/MVI_9353.MOV,bad,60,MVI_9353,46,1920,1080,25.0,1.0
/vol/input/Adjectives/95. bad/MVI_9354.MOV,bad,60,MVI_9354,40,1920,1080,25.0,1.0
/vol/input/Adjectives/95. bad/MVI_9433.MOV,bad,60,MVI_9433,46,1920,1080,25.0,1.0
/vol/input/Adjectives/95. bad/MVI_9434.MOV,bad,60,MVI_9434,47,1920,1080,25.0,1.0
/vol/input/Adjectives/95. bad/MVI_9435.MOV,bad,60,MVI_9435,46,1920,1080,25.0,1.0
/vol/input/Adjectives/95. bad/MVI_9513.MOV,bad,60,MVI_9513,62,1920,1080,25.0,1.0
/vol/input/Adjectives/95. bad/MVI_9514.MOV,bad,60,MVI_9514,59,1920,1080,25.0,1.0
/vol/input/Adjectives/95. bad/MVI_9516.MOV,bad,60,MVI_9516,58,1920,1080,25.0,1.0
/vol/input/Home/45. Bag/MVI_4432.MOV,bag,61,MVI_4432,50,1920,1080,25.0,1.0
/vol/input/Home/45. Bag/MVI_4433.MOV,bag,61,MVI_4433,44,1920,1080,25.0,1.0
/vol/input/Home/45. Bag/MVI_4434.MOV,bag,61,MVI_4434,47,1920,1080,25.0,1.0
/vol/input/Home/45. Bag/MVI_4436.MOV,bag,61,MVI_4436,49,1920,1080,25.0,1.0
/vol/input/Home/45. Bag/MVI_4941.MOV,bag,61,MVI_4941,48,1920,1080,25.0,1.0
/vol/input/Home/45. Bag/MVI_4942.MOV,bag,61,MVI_4942,55,1920,1080,25.0,1.0
/vol/input/Home/45. Bag/MVI_4943.MOV,bag,61,MVI_4943,63,1920,1080,25.0,1.0
/vol/input/Home/45. Bag/MVI_8838.MP4,bag,61,MVI_8838,67,1920,1080,25.0,1.0
/vol/input/Home/45. Bag/MVI_8839.MP4,bag,61,MVI_8839,69,1920,1080,25.0,1.0
/vol/input/Home/45. Bag/MVI_8840.MP4,bag,61,MVI_8840,75,1920,1080,25.0,1.0
/vol/input/Home/45. Bag/MVI_8841.MP4,bag,61,MVI_8841,65,1920,1080,25.0,1.0
/vol/input/Home/45. Bag/MVI_9073.MP4,bag,61,MVI_9073,61,1920,1080,25.0,1.0
/vol/input/Home/45. Bag/MVI_9074.MP4,bag,61,MVI_9074,63,1920,1080,25.0,1.0
/vol/input/Home/45. Bag/MVI_9075.MP4,bag,61,MVI_9075,65,1920,1080,25.0,1.0
/vol/input/Society/19. Ball/MVI_4324.MOV,ball,62,MVI_4324,50,1920,1080,25.0,1.0
/vol/input/Society/19. Ball/MVI_4325.MOV,ball,62,MVI_4325,47,1920,1080,25.0,1.0
/vol/input/Society/19. Ball/MVI_4326.MOV,ball,62,MVI_4326,50,1920,1080,25.0,1.0
/vol/input/Society/19. Ball/MVI_4327.MOV,ball,62,MVI_4327,50,1920,1080,25.0,1.0
/vol/input/Society/19. Ball/MVI_4854.MOV,ball,62,MVI_4854,44,1920,1080,25.0,1.0
/vol/input/Society/19. Ball/MVI_4855.MOV,ball,62,MVI_4855,47,1920,1080,25.0,1.0
/vol/input/Society/19. Ball/MVI_4856.MOV,ball,62,MVI_4856,41,1920,1080,25.0,1.0
/vol/input/Society/19. Ball/MVI_8730.MP4,ball,62,MVI_8730,54,1920,1080,25.0,1.0
/vol/input/Society/19. Ball/MVI_8731.MP4,ball,62,MVI_8731,70,1920,1080,25.0,1.0
/vol/input/Society/19. Ball/MVI_8732.MP4,ball,62,MVI_8732,63,1920,1080,25.0,1.0
/vol/input/Society/19. Ball/MVI_8733.MP4,ball,62,MVI_8733,69,1920,1080,25.0,1.0
/vol/input/Society/19. Ball/MVI_8982.MP4,ball,62,MVI_8982,68,1920,1080,25.0,1.0
/vol/input/Society/19. Ball/MVI_8983.MP4,ball,62,MVI_8983,64,1920,1080,25.0,1.0
/vol/input/Society/19. Ball/MVI_8984.MP4,ball,62,MVI_8984,65,1920,1080,25.0,1.0
/vol/input/Society/19. Ball/MVI_8985.MP4,ball,62,MVI_8985,62,1920,1080,25.0,1.0
/vol/input/Places/35. Bank/MVI_3335.MOV,bank,0,MVI_3335,74,1920,1080,25.0,1.0
/vol/input/Places/35. Bank/MVI_3336.MOV,bank,0,MVI_3336,63,1920,1080,25.0,1.0
/vol/input/Places/35. Bank/MVI_3337.MOV,bank,0,MVI_3337,62,1920,1080,25.0,1.0
/vol/input/Places/35. Bank/MVI_3338.MOV,bank,0,MVI_3338,63,1920,1080,25.0,1.0
/vol/input/Places/35. Bank/MVI_3419.MOV,bank,0,MVI_3419,82,1920,1080,25.0,1.0
/vol/input/Places/35. Bank/MVI_3421.MOV,bank,0,MVI_3421,59,1920,1080,25.0,1.0
/vol/input/Places/35. Bank/MVI_3422.MOV,bank,0,MVI_3422,59,1920,1080,25.0,1.0
/vol/input/Places/35. Bank/MVI_3423.MOV,bank,0,MVI_3423,70,1920,1080,25.0,1.0
/vol/input/Places/35. Bank/MVI_3500.MOV,bank,0,MVI_3500,44,1920,1080,25.0,1.0
/vol/input/Places/35. Bank/MVI_3501.MOV,bank,0,MVI_3501,41,1920,1080,25.0,1.0
/vol/input/Places/35. Bank/MVI_3502.MOV,bank,0,MVI_3502,48,1920,1080,25.0,1.0
/vol/input/Places/35. Bank/MVI_3503.MOV,bank,0,MVI_3503,45,1920,1080,25.0,1.0
/vol/input/Places/35. Bank/MVI_3581.MOV,bank,0,MVI_3581,50,1920,1080,25.0,1.0
/vol/input/Places/35. Bank/MVI_3582.MOV,bank,0,MVI_3582,51,1920,1080,25.0,1.0
/vol/input/Places/35. Bank/MVI_3583.MOV,bank,0,MVI_3583,45,1920,1080,25.0,1.0
/vol/input/Places/35. Bank/MVI_3584.MOV,bank,0,MVI_3584,50,1920,1080,25.0,1.0
/vol/input/Places/35. Bank/MVI_3661.MOV,bank,0,MVI_3661,44,1920,1080,25.0,1.0
/vol/input/Places/35. Bank/MVI_3662.MOV,bank,0,MVI_3662,43,1920,1080,25.0,1.0
/vol/input/Places/35. Bank/MVI_3663.MOV,bank,0,MVI_3663,44,1920,1080,25.0,1.0
/vol/input/Places/35. Bank/MVI_3664.MOV,bank,0,MVI_3664,47,1920,1080,25.0,1.0
/vol/input/Home/32. Bathroom/MVI_4378.MOV,bathroom,63,MVI_4378,60,1920,1080,25.0,1.0
/vol/input/Home/32. Bathroom/MVI_4379.MOV,bathroom,63,MVI_4379,64,1920,1080,25.0,1.0
/vol/input/Home/32. Bathroom/MVI_4380.MOV,bathroom,63,MVI_4380,57,1920,1080,25.0,1.0
/vol/input/Home/32. Bathroom/MVI_4381.MOV,bathroom,63,MVI_4381,67,1920,1080,25.0,1.0
/vol/input/Home/32. Bathroom/MVI_4900.MOV,bathroom,63,MVI_4900,64,1920,1080,25.0,1.0
/vol/input/Home/32. Bathroom/MVI_4901.MOV,bathroom,63,MVI_4901,60,1920,1080,25.0,1.0
/vol/input/Home/32. Bathroom/MVI_4902.MOV,bathroom,63,MVI_4902,52,1920,1080,25.0,1.0
/vol/input/Home/32. Bathroom/MVI_8782.MP4,bathroom,63,MVI_8782,80,1920,1080,25.0,1.0
/vol/input/Home/32. Bathroom/MVI_8783.MP4,bathroom,63,MVI_8783,76,1920,1080,25.0,1.0
/vol/input/Home/32. Bathroom/MVI_8784.MP4,bathroom,63,MVI_8784,75,1920,1080,25.0,1.0
/vol/input/Home/32. Bathroom/MVI_8785.MP4,bathroom,63,MVI_8785,82,1920,1080,25.0,1.0
/vol/input/Home/32. Bathroom/MVI_9025.MP4,bathroom,63,MVI_9025,67,1920,1080,25.0,1.0
/vol/input/Home/32. Bathroom/MVI_9026.MP4,bathroom,63,MVI_9026,71,1920,1080,25.0,1.0
/vol/input/Home/32. Bathroom/MVI_9027.MP4,bathroom,63,MVI_9027,78,1920,1080,25.0,1.0
/vol/input/Adjectives/5. Beautiful/MVI_9569.MOV,beautiful,64,MVI_9569,65,1920,1080,25.0,1.0
/vol/input/Adjectives/5. Beautiful/MVI_9570.MOV,beautiful,64,MVI_9570,79,1920,1080,25.0,1.0
/vol/input/Adjectives/5. Beautiful/MVI_9571.MOV,beautiful,64,MVI_9571,64,1920,1080,25.0,1.0
/vol/input/Adjectives/5. Beautiful/MVI_9572.MOV,beautiful,64,MVI_9572,55,1920,1080,25.0,1.0
/vol/input/Adjectives/5. Beautiful/MVI_9723.MOV,beautiful,64,MVI_9723,74,1920,1080,25.0,1.0
/vol/input/Adjectives/5. Beautiful/MVI_9724.MOV,beautiful,64,MVI_9724,70,1920,1080,25.0,1.0
/vol/input/Adjectives/5. Beautiful/MVI_9725.MOV,beautiful,64,MVI_9725,70,1920,1080,25.0,1.0
